Field=Designator~String~Designator~73|Field=LibRef~String~LibRef~115|Field=Description~String~Description~282|Field=Quantity~Integer~Quantity~280|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MIDI_USB.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb|ReportField=Title~BOM_PartType For Project [MIDI_USB.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~270|ReportField=ReportTime~12:44:54|ReportField=ReportDate~05/03/2022|ReportField=ReportDateTime~05/03/2022 12:44:54|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.00|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=-3|MediaType=1|DitherType=10|PrintScaleMode=1|PaperKind=A3 (Scaled)|PaperIndex=8|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~MIDI_USB.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Projects\MIDI_USB\MIDI_USB.PrjPcb
R26|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R27|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R28|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R29|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R30|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R31|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R32|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R33|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R34|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R35|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R36|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R37|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R38|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R39|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R40|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R41|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R42|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R43|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R44|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R45|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R46|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R47|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R48|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R49|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R50|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R51|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R52|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
R53|RES0603_100R|Standard 0805 Resistor, 5%, Thick Film|1
